file,n.opp,n.opp.,n.evt,n.evt.,beads,pro,syn,pico,width,corr,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2
2015_286/2015-10-13T12-53-18+00-00.gz,8664,8664,2016000,2016000,19,8208,55,60,5000,0,-3280,-2631,-74572,-81401,0.642,0.639,1.91,2.04
2015_286/2015-10-13T12-53-18+00-00.gz,13140,13140,2016000,2016000,65,12366,70,127,5000,2500,-780,-131,-72072,-78901,0.642,0.639,1.91,2.04
2015_286/2015-10-13T12-53-18+00-00.gz,19822,19636,2016000,2016000,73,17228,83,160,5000,5000,1720,2369,-69572,-76401,0.642,0.639,1.91,2.04
2015_286/2015-10-13T12-53-18+00-00.gz,140871,39568,2016000,2016000,74,22248,104,178,5000,7500,4220,4869,-67072,-73901,0.642,0.639,1.91,2.04
2015_286/2015-10-13T12-53-18+00-00.gz,303709,55176,2016000,2016000,75,28182,120,201,5000,10000,6720,7369,-64572,-71401,0.642,0.639,1.91,2.04
2015_286/2015-10-13T12-53-18+00-00.gz,14001,14001,2016000,2016000,68,13201,72,117,5000,1,0,0,-74571,-81400,0.642,0.639,1.91,2.04
2015_286/2015-10-13T12-53-18+00-00.gz,12117,12117,2016000,2016000,19,11537,61,69,5000,2,0,0,-74570,-81399,0.583665338645418,0.592202618099032,1.91,2.04
2015_286/2015-10-13T12-53-18+00-00.gz,13580,13580,2016000,2016000,65,12803,70,124,5000,3,0,0,-72072,-78901,0.628130335799658,0.628130335799658,1.91,2.04
2015_286/2015-10-13T12-53-18+00-00.gz,10529,10529,2016000,2016000,0,10130,53,26,5000,4,0,0,-77072,-83901,0.539200341491178,0.547737620944792,1.91,2.04
2016_012/2016-01-12T13-13-03+00-00.gz,6485,6485,2490624,2170355,63,5571,144,189,5000,0,-8936,-8606,-62507,-60535,0.656,0.683,1.635,1.632
2016_012/2016-01-12T13-13-03+00-00.gz,15579,15579,2490624,2170355,89,14272,174,252,5000,2500,-6436,-6106,-60007,-58035,0.656,0.683,1.635,1.632
2016_012/2016-01-12T13-13-03+00-00.gz,27669,27669,2490624,2170355,106,24637,198,294,5000,5000,-3936,-3606,-57507,-55535,0.656,0.683,1.635,1.632
2016_012/2016-01-12T13-13-03+00-00.gz,37074,37074,2490624,2170355,115,30550,226,316,5000,7500,-1436,-1106,-55007,-53035,0.656,0.683,1.635,1.632
2016_012/2016-01-12T13-13-03+00-00.gz,106966,43488,2490624,2170355,118,34533,261,339,5000,10000,1064,1394,-52507,-50535,0.656,0.683,1.635,1.632
2016_012/2016-01-12T13-13-03+00-00.gz,41511,40671,2490624,2170355,116,32833,240,317,5000,1,0,0,-62506,-60534,0.656,0.683,1.635,1.632
